Year,Value,Growth
2002,328821,
2003,318847,-3.033261258
2004,314756,-1.283060527
2005,298358,-5.209749774
2006,283518,-4.973890427
2007,298928,5.435281005
2008,303509,1.532476048
2009,343639,13.22201319
2010,367864,7.049549091
2011,349092,-5.102972838
2012,356240,2.047597768
2013,348241,-2.245396362
2014,346208,-0.58379111
