Year,Value
1993,
1994,2.140328312
1995,33.45156518
1996,26.01365363
1997,22.64219365
1998,16.09865476
1999,25.22145796
2000,-6.1678914
2001,-7.10438094
2002,-16.76324545
2003,25.32226997
2004,3.148004255
2005,-0.607527652
2006,16.28785063
2007,6.432321651
2008,-33.83710113
2009,18.81935765
2010,11.02277015
2011,5.528389239
2012,7.256605322
2013,26.49941622
2014,7.519066834
